Model,MAE,RMSE,MAPE (%)
Random Forest,6.361722967456679,10.381600584765861,74.69424584231629
XGBoost,3.57817582468216,5.664933737839108,51.26514202865328
LightGBM,3.518401363694775,5.4783125573042515,51.056523648242006
