Feature Set,N_Features,MAE,RMSE
All Features,27,3.57817582468216,5.664933737839108
No Weather,22,3.50547679007838,5.750795814076136
No Holidays,25,3.4899528051154514,5.547982214253999
No Weather + No Holidays,20,3.417886766065459,5.674090416064531
Core Only (No Aux),14,3.3024682109393706,5.32279904233954
